2023-09-28 11:10:46.061 [info] Log level: Info
2023-09-28 11:10:46.061 [info] Validating found git in: "git"
2023-09-28 11:10:46.061 [info] Using git "2.42.0" from "git"
2023-09-28 11:10:46.061 [info] > git rev-parse --show-toplevel [5ms]
2023-09-28 11:10:46.062 [info] > git rev-parse --show-toplevel [7ms]
2023-09-28 11:10:46.070 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 11:10:46.077 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 11:10:46.084 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 11:10:46.107 [info] > git rev-parse --show-toplevel [14ms]
2023-09-28 11:10:46.119 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 11:10:46.292 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 11:11:16.359 [info] > git rev-parse --show-toplevel [2ms]
2023-09-28 11:13:34.796 [info] > git rev-parse --show-toplevel [3ms]
